timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,nvidia_power_draw_w,nvidia_power_limit_w,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,acpi_ewma_c,hottest_control_c,curve_source,winning_sensor,cpu_target_percent,gpu_target_percent,acpi_target_percent,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T19:24:17+03:00,27.9,performance,manual,76.0,62.0,173.2,,,72.2,52.5,,76.0,hp-vibrance-stx-n22x9-performance,cpu,41.7,33.3,,106,41.6,1,93,2200,2400,
2026-09-06T19:24:18+03:00,29.0,performance,manual,75.9,63.0,173.6,,,72.5,53.6,,75.9,hp-vibrance-stx-n22x9-performance,cpu,41.7,35.0,,106,41.6,1,102,2400,2600,
2026-09-06T19:24:20+03:00,30.1,performance,manual,76.2,63.0,173.8,,,72.9,54.5,,76.2,hp-vibrance-stx-n22x9-performance,cpu,41.7,35.0,,106,41.6,1,102,2400,2600,
2026-09-06T19:24:21+03:00,31.1,performance,manual,76.8,64.0,173.8,,,73.3,55.5,,76.8,hp-vibrance-stx-n22x9-performance,cpu,41.7,35.0,,106,41.6,1,102,2400,2600,
2026-09-06T19:24:22+03:00,32.2,performance,manual,77.4,64.0,173.9,,,73.7,56.3,,77.4,hp-vibrance-stx-n22x9-performance,cpu,41.7,35.0,,106,41.6,1,102,2400,2600,
2026-09-06T19:24:23+03:00,33.3,performance,manual,78.4,64.0,174.0,,,74.2,57.1,,78.4,hp-vibrance-stx-n22x9-performance,cpu,46.7,35.0,,119,46.7,1,102,2400,2600,
2026-09-06T19:24:24+03:00,34.3,performance,manual,79.2,65.0,174.1,,,74.7,57.9,,79.2,hp-vibrance-stx-n22x9-performance,cpu,46.7,35.0,,119,46.7,1,110,2600,2900,
2026-09-06T19:24:25+03:00,35.4,performance,manual,79.8,65.0,174.2,,,75.2,58.6,,79.8,hp-vibrance-stx-n22x9-performance,cpu,46.7,35.0,,119,46.7,1,119,2800,3000,
2026-09-06T19:24:26+03:00,36.5,performance,manual,80.1,65.0,174.2,,,75.7,59.2,,80.1,hp-vibrance-stx-n22x9-performance,cpu,51.7,35.0,,132,51.8,1,119,2800,3000,
2026-09-06T19:24:27+03:00,37.5,performance,manual,80.4,66.0,174.2,,,76.2,59.9,,80.4,hp-vibrance-stx-n22x9-performance,cpu,51.7,36.7,,132,51.8,1,131,3100,3200,
2026-09-06T19:24:28+03:00,38.6,performance,manual,80.6,66.0,174.3,,,76.6,60.5,,80.6,hp-vibrance-stx-n22x9-performance,cpu,51.7,36.7,,132,51.8,1,127,3000,3200,
2026-09-06T19:24:29+03:00,39.7,performance,manual,80.9,66.0,174.4,,,77.0,61.1,,80.9,hp-vibrance-stx-n22x9-performance,cpu,51.7,36.7,,132,51.8,1,127,3000,3200,
2026-09-06T19:24:30+03:00,40.7,performance,manual,81.2,67.0,174.5,,,77.4,61.7,,81.2,hp-vibrance-stx-n22x9-performance,cpu,51.7,36.7,,132,51.8,1,127,3000,3200,
2026-09-06T19:24:31+03:00,41.8,performance,manual,81.5,67.0,174.5,,,77.9,62.2,,81.5,hp-vibrance-stx-n22x9-performance,cpu,51.7,36.7,,132,51.8,1,127,3000,3200,
2026-09-06T19:24:32+03:00,42.8,performance,manual,81.5,67.0,174.4,,,78.2,62.7,,81.5,hp-vibrance-stx-n22x9-performance,cpu,51.7,36.7,,132,51.8,1,127,3000,3200,
2026-09-06T19:24:33+03:00,43.9,performance,manual,81.0,67.0,174.4,,,78.5,63.1,,81.0,hp-vibrance-stx-n22x9-performance,cpu,51.7,36.7,,132,51.8,1,127,3000,3200,
2026-09-06T19:24:34+03:00,45.0,performance,manual,80.6,68.0,174.4,,,78.7,63.6,,80.6,hp-vibrance-stx-n22x9-performance,cpu,51.7,36.7,,132,51.8,1,127,3000,3200,
2026-09-06T19:24:35+03:00,46.0,performance,manual,80.4,68.0,174.6,,,78.9,64.0,,80.4,hp-vibrance-stx-n22x9-performance,cpu,51.7,36.7,,132,51.8,1,127,3000,3200,
2026-09-06T19:24:37+03:00,47.1,performance,manual,80.5,68.0,174.3,,,79.0,64.4,,80.5,hp-vibrance-stx-n22x9-performance,cpu,51.7,36.7,,132,51.8,1,127,3000,3200,
2026-09-06T19:24:38+03:00,48.1,performance,manual,81.1,69.0,174.5,,,79.2,64.9,,81.1,hp-vibrance-stx-n22x9-performance,cpu,51.7,38.3,,132,51.8,1,127,3000,3200,
2026-09-06T19:24:39+03:00,49.2,performance,manual,81.1,69.0,174.4,,,79.4,65.3,,81.1,hp-vibrance-stx-n22x9-performance,cpu,51.7,38.3,,132,51.8,1,127,3000,3200,
2026-09-06T19:24:40+03:00,50.3,performance,manual,81.5,69.0,174.6,,,79.6,65.7,,81.5,hp-vibrance-stx-n22x9-performance,cpu,51.7,38.3,,132,51.8,1,127,3000,3200,
2026-09-06T19:24:41+03:00,51.3,performance,manual,82.9,69.0,174.3,,,80.0,66.0,,82.9,hp-vibrance-stx-n22x9-performance,cpu,56.7,38.3,,144,56.5,1,127,3000,3200,
2026-09-06T19:24:42+03:00,52.4,performance,manual,83.5,69.0,174.6,,,80.3,66.3,,83.5,hp-vibrance-stx-n22x9-performance,cpu,61.7,38.3,,157,61.6,1,136,3200,3400,
2026-09-06T19:24:43+03:00,53.5,performance,manual,83.8,69.0,173.8,,,80.7,66.6,,83.8,hp-vibrance-stx-n22x9-performance,cpu,61.7,38.3,,157,61.6,1,144,3400,3700,
2026-09-06T19:24:44+03:00,54.6,performance,manual,83.6,69.0,174.2,,,81.0,66.8,,83.6,hp-vibrance-stx-n22x9-performance,cpu,61.7,38.3,,157,61.6,1,153,3600,3800,
2026-09-06T19:24:45+03:00,55.6,performance,manual,83.0,70.0,174.0,,,81.2,67.1,,83.0,hp-vibrance-stx-n22x9-performance,cpu,61.7,38.3,,157,61.6,1,153,3600,3800,
2026-09-06T19:24:46+03:00,56.7,performance,manual,82.6,70.0,174.3,,,81.3,67.4,,82.6,hp-vibrance-stx-n22x9-performance,cpu,61.7,38.3,,157,61.6,1,153,3600,3800,
2026-09-06T19:24:47+03:00,57.7,performance,manual,82.4,70.0,174.3,,,81.4,67.7,,82.4,hp-vibrance-stx-n22x9-performance,cpu,61.7,38.3,,157,61.6,1,153,3600,3800,
2026-09-06T19:24:48+03:00,58.8,performance,manual,82.4,70.0,174.3,,,81.5,67.9,,82.4,hp-vibrance-stx-n22x9-performance,cpu,61.7,38.3,,157,61.6,1,153,3600,3800,
2026-09-06T19:24:49+03:00,59.8,performance,manual,82.8,71.0,174.6,,,81.6,68.2,,82.8,hp-vibrance-stx-n22x9-performance,cpu,61.7,41.7,,157,61.6,1,153,3600,3800,
2026-09-06T19:24:50+03:00,60.9,performance,manual,84.0,70.0,174.3,,,81.9,68.4,,84.0,hp-vibrance-stx-n22x9-performance,cpu,71.7,41.7,,183,71.8,1,153,3600,3800,
2026-09-06T19:24:51+03:00,62.0,performance,manual,83.6,71.0,174.1,,,82.0,68.7,,83.6,hp-vibrance-stx-n22x9-performance,cpu,71.7,41.7,,183,71.8,1,161,3800,4100,
2026-09-06T19:24:53+03:00,63.1,performance,manual,83.4,71.0,174.0,,,82.2,68.9,,83.4,hp-vibrance-stx-n22x9-performance,cpu,71.7,41.7,,183,71.8,1,174,4100,4400,
2026-09-06T19:24:54+03:00,64.1,performance,manual,83.2,71.0,174.1,,,82.3,69.1,,83.2,hp-vibrance-stx-n22x9-performance,cpu,71.7,41.7,,183,71.8,1,178,4200,4400,
2026-09-06T19:24:55+03:00,65.2,performance,manual,83.1,71.0,174.1,,,82.4,69.3,,83.1,hp-vibrance-stx-n22x9-performance,cpu,71.7,41.7,,183,71.8,1,178,4200,4400,
2026-09-06T19:24:56+03:00,66.2,performance,manual,83.5,71.0,174.1,,,82.5,69.5,,83.5,hp-vibrance-stx-n22x9-performance,cpu,71.7,41.7,,183,71.8,1,178,4200,4400,
2026-09-06T19:24:57+03:00,67.3,performance,manual,83.5,71.0,174.1,,,82.6,69.6,,83.5,hp-vibrance-stx-n22x9-performance,cpu,71.7,41.7,,183,71.8,1,178,4200,4400,
2026-09-06T19:24:58+03:00,68.4,performance,manual,84.1,71.0,174.0,,,82.7,69.8,,84.1,hp-vibrance-stx-n22x9-performance,cpu,71.7,41.7,,183,71.8,1,178,4200,4400,
2026-09-06T19:24:59+03:00,69.4,performance,manual,84.0,71.0,174.1,,,82.9,69.9,,84.0,hp-vibrance-stx-n22x9-performance,cpu,71.7,41.7,,183,71.8,1,178,4200,4400,
2026-09-06T19:25:00+03:00,70.5,performance,manual,83.9,71.0,173.9,,,83.0,70.0,,83.9,hp-vibrance-stx-n22x9-performance,cpu,71.7,41.7,,183,71.8,1,178,4200,4400,
2026-09-06T19:25:01+03:00,71.6,performance,manual,83.8,71.0,174.0,,,83.0,70.1,,83.8,hp-vibrance-stx-n22x9-performance,cpu,71.7,41.7,,183,71.8,1,178,4200,4400,
2026-09-06T19:25:02+03:00,72.6,performance,manual,83.8,71.0,174.0,,,83.1,70.2,,83.8,hp-vibrance-stx-n22x9-performance,cpu,71.7,41.7,,183,71.8,1,178,4200,4400,
2026-09-06T19:25:03+03:00,73.7,performance,manual,83.8,72.0,174.0,,,83.2,70.4,,83.8,hp-vibrance-stx-n22x9-performance,cpu,71.7,41.7,,183,71.8,1,178,4200,4400,
2026-09-06T19:25:04+03:00,74.7,performance,manual,84.8,72.0,174.1,,,83.3,70.5,,84.8,hp-vibrance-stx-n22x9-performance,cpu,71.7,41.7,,183,71.8,1,178,4200,4400,
2026-09-06T19:25:05+03:00,75.8,performance,manual,85.5,72.0,174.1,,,83.6,70.7,,85.5,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,178,4200,4400,
2026-09-06T19:25:06+03:00,76.9,performance,manual,85.9,72.0,174.0,,,83.8,70.8,,85.9,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,187,4400,4600,
